candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
XLU + ETH-USD,crypto|defensive,FAIL,FAIL: 예산 부족 - ETH-USD 1주 매수 불가,30.0,3000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
XLP + XLE,commodity_energy|defensive,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달,30.0,3000000.0,2846519.53542,153480.46458,"{""XLP"": 11, ""XLE"": 18}",2,0.356086,0.29995,-0.345884,-0.273206,-0.05089,-0.04294,0.285314,0.279717,0.717,0.832528,-0.000878,-0.000922,0.144387,0.18595,0.515375,0.539872,15.764757,21.012152,15.621414,-4.4e-05,-0.041563,-0.024496,-0.024496,0.115529,16.112784,2488623226120.116,0.100531,0.612534,0.29634,0.101264,0.541229,0.497211,0.306071,"MDD 개선, Sharpe 개선, 유동성 양호","{""USO"": 76.9231, ""XLP"": 10.6221, ""XLE"": 11.2742, ""__CASH__"": 1.1806}"
XLP + IEF,bond|defensive,PASS,PASS,30.0,3000000.0,2793212.910486,206787.089514,"{""XLP"": 11, ""IEF"": 10}",2,0.356086,0.279774,-0.345884,-0.264264,-0.05089,-0.039914,0.285314,0.252275,0.717,0.794482,-0.000878,-0.000775,0.144387,0.186421,0.515375,0.473953,21.430876,23.597506,21.568845,0.000104,-0.042034,0.041422,0.041422,0.077482,10.806485,1255579678910.7893,0.935134,0.876218,0.5985,0.705695,0.320199,0.247542,0.737207,"CVaR 개선, MDD 개선, 노출(beta/corr) 감소","{""USO"": 76.9231, ""XLP"": 10.6221, ""IEF"": 10.8641, ""__CASH__"": 1.5907}"
XLP + TLT,bond|defensive,PASS,PASS,30.0,3000000.0,2802995.524494,197004.475506,"{""XLP"": 11, ""TLT"": 11}",2,0.356086,0.278558,-0.345884,-0.265418,-0.05089,-0.039678,0.285314,0.246886,0.717,0.778603,-0.000878,-0.000847,0.144387,0.189793,0.515375,0.474727,21.772446,23.263806,22.03108,3.1e-05,-0.045406,0.040648,0.040648,0.061603,8.591787,2488623226120.116,1.0,0.842184,0.450211,0.698598,0.227947,0.497211,0.725994,"CVaR 개선, MDD 개선, 노출(beta/corr) 감소","{""USO"": 76.9231, ""XLP"": 10.6221, ""TLT"": 10.9394, ""__CASH__"": 1.5154}"
XLP + SHY,bond|defensive,PASS,PASS,30.0,3000000.0,2834569.530752,165430.469248,"{""XLP"": 11, ""SHY"": 12}",2,0.356086,0.280908,-0.345884,-0.265039,-0.05089,-0.040123,0.285314,0.255574,0.717,0.803018,-0.000878,-0.000753,0.144387,0.187168,0.515375,0.475492,21.112533,23.373479,21.157821,0.000125,-0.042781,0.039883,0.039883,0.086018,11.997001,534241832039.15826,0.877455,0.853369,0.642145,0.691579,0.369789,0.101485,0.717423,"CVaR 개선, MDD 개선, 노출(beta/corr) 감소","{""USO"": 76.9231, ""XLP"": 10.6221, ""SHY"": 11.1822, ""__CASH__"": 1.2725}"
XLP + ETH-USD,crypto|defensive,FAIL,FAIL: 예산 부족 - ETH-USD 1주 매수 불가,30.0,3000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
XLE + IEF,bond|commodity_energy,PASS,PASS,30.0,3000000.0,2877976.363578,122023.636422,"{""XLE"": 18, ""IEF"": 10}",2,0.356086,0.298062,-0.345884,-0.273822,-0.05089,-0.042634,0.285314,0.266916,0.717,0.794854,-0.000878,-0.000814,0.144387,0.183358,0.515375,0.504662,16.294996,20.834125,16.223768,6.4e-05,-0.038971,0.010714,0.010714,0.077855,10.858433,1255579678910.7893,0.185059,0.594377,0.517531,0.424117,0.322363,0.247542,0.374177,"MDD 개선, Stress 방어, 노출(beta/corr) 감소","{""USO"": 76.9231, ""XLE"": 11.2742, ""IEF"": 10.8641, ""__CASH__"": 0.9386}"
XLE + TLT,bond|commodity_energy,FAIL,FAIL: Stress 개선 미달,30.0,3000000.0,2887758.977585,112241.022415,"{""XLE"": 18, ""TLT"": 11}",2,0.356086,0.296765,-0.345884,-0.275301,-0.05089,-0.042372,0.285314,0.261523,0.717,0.780157,-0.000878,-0.000887,0.144387,0.186591,0.515375,0.505436,16.659292,20.406418,16.738857,-8e-06,-0.042204,0.00994,0.00994,0.063157,8.808517,3906806842509.893,0.257342,0.550755,0.369242,0.417019,0.236975,0.784367,0.378687,"유동성 양호, MDD 개선, 노출(beta/corr) 감소","{""USO"": 76.9231, ""XLE"": 11.2742, ""TLT"": 10.9394, ""__CASH__"": 0.8634}"
XLE + SHY,bond|commodity_energy,PASS,PASS,30.0,3000000.0,2919332.983843,80667.016157,"{""XLE"": 18, ""SHY"": 12}",2,0.356086,0.299252,-0.345884,-0.274634,-0.05089,-0.042895,0.285314,0.270204,0.717,0.802681,-0.000878,-0.000793,0.144387,0.18409,0.515375,0.506201,15.960885,20.599412,15.711245,8.5e-05,-0.039703,0.009174,0.009174,0.085682,11.950051,534241832039.15826,0.113137,0.570438,0.561175,0.41,0.367833,0.101485,0.348778,"MDD 개선, Stress 방어, 노출(beta/corr) 감소","{""USO"": 76.9231, ""XLE"": 11.2742, ""SHY"": 11.1822, ""__CASH__"": 0.6205}"
XLE + XLV,commodity_energy|defensive,FAIL,FAIL: beta/corr 감소 미달,30.0,3000000.0,2811342.897887,188657.102113,"{""XLE"": 18, ""XLV"": 6}",2,0.356086,0.299554,-0.345884,-0.275342,-0.05089,-0.04304,0.285314,0.278185,0.717,0.828518,-0.000878,-0.000747,0.144387,0.197802,0.515375,0.550916,15.87616,20.39465,15.426641,0.000131,-0.053415,-0.03554,-0.03554,0.111518,15.553438,2989320532229.1396,0.073198,0.549554,0.654196,0.0,0.51793,0.598593,0.348092,"Stress 방어, 유동성 양호, MDD 개선","{""USO"": 76.9231, ""XLE"": 11.2742, ""XLV"": 10.3515, ""__CASH__"": 1.4512}"
XLE + ETH-USD,commodity_energy|crypto,FAIL,FAIL: 예산 부족 - ETH-USD 1주 매수 불가,30.0,3000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IEF + XLV,bond|defensive,PASS,PASS,30.0,3000000.0,2758036.272953,241963.727047,"{""IEF"": 10, ""XLV"": 6}",2,0.356086,0.279288,-0.345884,-0.26428,-0.05089,-0.039918,0.285314,0.250799,0.717,0.790579,-0.000878,-0.0006,0.144387,0.198643,0.515375,0.484997,21.567332,23.592785,21.55992,0.000279,-0.054256,0.030379,0.030379,0.07358,10.262143,1255579678910.7893,0.933882,0.875737,0.956356,0.604431,0.297524,0.247542,0.79585,"Stress 방어, CVaR 개선, MDD 개선","{""USO"": 76.9231, ""IEF"": 10.8641, ""XLV"": 10.3515, ""__CASH__"": 1.8613}"
IEF + ETH-USD,bond|crypto,FAIL,FAIL: 예산 부족 - ETH-USD 1주 매수 불가,30.0,3000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
TLT + XLV,bond|defensive,PASS,PASS,30.0,3000000.0,2767818.88696,232181.11304,"{""TLT"": 11, ""XLV"": 6}",2,0.356086,0.278078,-0.345884,-0.26543,-0.05089,-0.039692,0.285314,0.245413,0.717,0.77465,-0.000878,-0.000672,0.144387,0.202085,0.515375,0.485771,21.907159,23.260285,22.004749,0.000206,-0.057698,0.029605,0.029605,0.057651,8.040561,2989320532229.1396,0.996305,0.841825,0.808066,0.597334,0.204986,0.598593,0.788847,"CVaR 개선, MDD 개선, Stress 방어","{""USO"": 76.9231, ""TLT"": 10.9394, ""XLV"": 10.3515, ""__CASH__"": 1.786}"
TLT + ETH-USD,bond|crypto,FAIL,FAIL: 예산 부족 - ETH-USD 1주 매수 불가,30.0,3000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
SHY + XLV,bond|defensive,PASS,PASS,30.0,3000000.0,2799392.893218,200607.106782,"{""SHY"": 12, ""XLV"": 6}",2,0.356086,0.28042,-0.345884,-0.265055,-0.05089,-0.040171,0.285314,0.254095,0.717,0.799142,-0.000878,-0.000578,0.144387,0.19936,0.515375,0.486536,21.24958,23.368776,21.0629,0.0003,-0.054973,0.028839,0.028839,0.082143,11.456454,534241832039.15826,0.864135,0.85289,1.0,0.590315,0.347273,0.101485,0.771858,"Stress 방어, CVaR 개선, MDD 개선","{""USO"": 76.9231, ""SHY"": 11.1822, ""XLV"": 10.3515, ""__CASH__"": 1.5431}"
SHY + ETH-USD,bond|crypto,FAIL,FAIL: 예산 부족 - ETH-USD 1주 매수 불가,30.0,3000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
XLV + ETH-USD,crypto|defensive,FAIL,FAIL: 예산 부족 - ETH-USD 1주 매수 불가,30.0,3000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
