scenario,vol_annual,mdd,cvar_95,annual_return_krw,sharpe_krw_proxy,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,sharpe_improve_pct,stress_improve,no_recommendation_reason
기존 포트폴리오,0.205068,-0.190807,-0.025448,0.373135,1.673272,0.0,0.0,0.0,0.0,0.0,
제안(다자산) - GLD + SHY,0.163142,-0.14506,-0.020539,0.32943,1.835398,20.445236,23.975675,19.289772,9.689115,2.1e-05,
