candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
GLD + BTC-USD,crypto|gold,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,19.671008,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
GLD + USO,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,19.671008,2000000.0,1630068.0367,369931.9633,"{""GLD"": 1, ""USO"": 6}",2,0.205127,0.180554,-0.190808,-0.163647,-0.025448,-0.022841,0.375271,0.357023,1.683207,1.811221,-0.000273,-0.000314,0.151049,0.198778,0.761412,0.688583,11.979399,14.234583,10.24214,-4.1e-05,-0.047729,0.072828,0.072828,0.128013,7.605325,1632219016483.3198,0.267464,0.615996,0.626404,0.679411,0.823154,0.324288,0.508563,"Sharpe 개선, 노출(beta/corr) 감소, Stress 방어","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""GLD"": 5.7629, ""USO"": 7.6343, ""__CASH__"": 3.0404}"
GLD + XLU,defensive|gold,FAIL,FAIL: Stress 개선 미달,19.671008,2000000.0,1674465.966594,325534.033406,"{""GLD"": 1, ""XLU"": 14}",2,0.205127,0.176763,-0.190808,-0.174534,-0.025448,-0.022103,0.375271,0.35083,1.683207,1.815023,-0.000273,-0.000295,0.151049,0.227594,0.761412,0.693525,13.827272,8.528878,13.145363,-2.1e-05,-0.076545,0.067887,0.067887,0.131816,7.831252,1650941766724.0986,0.72235,0.138444,0.683579,0.617419,0.848059,0.328082,0.580179,"Sharpe 개선, CVaR 개선, Stress 방어","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""GLD"": 5.7629, ""XLU"": 7.9992, ""__CASH__"": 2.6755}"
GLD + DBC,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,19.671008,2000000.0,1667729.111861,332270.888139,"{""GLD"": 1, ""DBC"": 24}",2,0.205127,0.178071,-0.190808,-0.161711,-0.025448,-0.022445,0.375271,0.34816,1.683207,1.786706,-0.000273,-0.000457,0.151049,0.216834,0.761412,0.681429,13.18999,15.249374,11.801247,-0.000184,-0.065785,0.079983,0.079983,0.103498,6.148879,31566453060.943737,0.51175,0.700931,0.211356,0.769176,0.662604,0.0,0.529748,"노출(beta/corr) 감소, MDD 개선, Sharpe 개선","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""GLD"": 5.7629, ""DBC"": 7.9438, ""__CASH__"": 2.7309}"
GLD + XLP,defensive|gold,FAIL,FAIL: Stress 개선 미달,19.671008,2000000.0,1594172.729818,405827.270182,"{""GLD"": 1, ""XLP"": 7}",2,0.205127,0.176188,-0.190808,-0.166954,-0.025448,-0.022104,0.375271,0.34459,1.683207,1.78553,-0.000273,-0.000346,0.151049,0.226217,0.761412,0.688923,14.107561,12.501576,13.138142,-7.3e-05,-0.075168,0.072489,0.072489,0.102323,6.079059,2475628987820.9033,0.721219,0.470948,0.533584,0.675157,0.654907,0.495161,0.611097,"CVaR 개선, 노출(beta/corr) 감소, Sharpe 개선","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""GLD"": 5.7629, ""XLP"": 7.3393, ""__CASH__"": 3.3354}"
GLD + XLE,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,19.671008,2000000.0,1620482.089397,379517.910603,"{""GLD"": 1, ""XLE"": 11}",2,0.205127,0.180563,-0.190808,-0.159402,-0.025448,-0.022734,0.375271,0.35613,1.683207,1.806185,-0.000273,-0.00034,0.151049,0.218336,0.761412,0.706921,11.975084,16.459201,10.665236,-6.7e-05,-0.067287,0.054491,0.054491,0.122978,7.306166,3815510015425.9995,0.333756,0.80219,0.552315,0.449342,0.790177,0.766618,0.549998,"MDD 개선, Sharpe 개선, 유동성 양호","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""GLD"": 5.7629, ""XLE"": 7.5555, ""__CASH__"": 3.1192}"
GLD + IEF,bond|gold,PASS,PASS,19.671008,2000000.0,1562580.701012,437419.298988,"{""GLD"": 1, ""IEF"": 6}",2,0.205127,0.173784,-0.190808,-0.163151,-0.025448,-0.02168,0.375271,0.335447,1.683207,1.757623,-0.000273,-0.000258,0.151049,0.216828,0.761412,0.663031,15.279652,14.494569,14.804346,1.5e-05,-0.065779,0.098381,0.098381,0.074415,4.421044,1261955140466.467,0.982285,0.637756,0.790405,1.0,0.472137,0.249274,0.789109,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""GLD"": 5.7629, ""IEF"": 7.0796, ""__CASH__"": 3.5951}"
GLD + TLT,bond|gold,FAIL,FAIL: Stress 개선 미달,19.671008,2000000.0,1628035.120735,371964.879265,"{""GLD"": 1, ""TLT"": 7}",2,0.205127,0.173899,-0.190808,-0.165879,-0.025448,-0.021652,0.375271,0.333724,1.683207,1.746558,-0.000273,-0.000297,0.151049,0.221987,0.761412,0.664333,15.223808,13.064857,14.91741,-2.4e-05,-0.070938,0.097079,0.097079,0.063351,3.763688,4967457365765.731,1.0,0.518093,0.676985,0.983664,0.399674,1.0,0.777349,"CVaR 개선, 유동성 양호, 노출(beta/corr) 감소","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""GLD"": 5.7629, ""TLT"": 7.6176, ""__CASH__"": 3.0571}"
GLD + SHY,bond|gold,PASS,PASS,19.671008,2000000.0,1683755.124023,316244.875977,"{""GLD"": 1, ""SHY"": 8}",2,0.205127,0.174037,-0.190808,-0.158216,-0.025448,-0.02174,0.375271,0.337591,1.683207,1.767392,-0.000273,-0.000251,0.151049,0.222238,0.761412,0.66557,15.15658,17.080684,14.569455,2.2e-05,-0.071189,0.095842,0.095842,0.084185,5.001448,532876567237.4225,0.945481,0.854206,0.810214,0.968147,0.536118,0.101564,0.819307,"노출(beta/corr) 감소, CVaR 개선, MDD 개선","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""GLD"": 5.7629, ""SHY"": 8.0756, ""__CASH__"": 2.5991}"
GLD + XLV,defensive|gold,PASS,PASS,19.671008,2000000.0,1616802.012482,383197.987518,"{""GLD"": 1, ""XLV"": 4}",2,0.205127,0.177315,-0.190808,-0.164885,-0.025448,-0.02226,0.375271,0.34402,1.683207,1.770975,-0.000273,-0.000208,0.151049,0.248804,0.761412,0.698812,13.558521,13.585636,12.526464,6.5e-05,-0.097755,0.0626,0.0626,0.087768,5.21434,2982426082668.6753,0.625379,0.561681,0.934726,0.551084,0.559586,0.597837,0.659123,"Stress 방어, CVaR 개선, 유동성 양호","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""GLD"": 5.7629, ""XLV"": 7.5253, ""__CASH__"": 3.1494}"
