candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
GLD + BTC-USD,crypto|gold,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,50.0,4000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
GLD + USO,commodity_energy|gold,PASS,PASS,50.0,4000000.0,3259968.707884,740031.292116,"{""GLD"": 2, ""USO"": 12}",2,0.23801,0.179416,-0.35281,-0.206079,-0.032141,-0.024418,0.364272,0.331543,1.404444,1.680694,-0.00087,-0.000754,0.258598,0.322153,1.030114,0.792781,24.618372,41.589179,24.028792,0.000116,-0.063555,0.237333,0.237333,0.276251,19.669757,1970411033369.56,0.391092,0.735349,0.638628,0.70852,0.827625,0.392282,0.584906,"Sharpe 개선, MDD 개선, 노출(beta/corr) 감소","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""GLD"": 11.6635, ""USO"": 15.5029, ""__CASH__"": 6.1669}"
GLD + DBC,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,50.0,4000000.0,3380172.38553,619827.61447,"{""GLD"": 2, ""DBC"": 49}",2,0.23801,0.173906,-0.35281,-0.212948,-0.032141,-0.023702,0.364272,0.315077,1.404444,1.639256,-0.00087,-0.001054,0.258598,0.356864,1.030114,0.779722,26.933246,39.642411,26.256459,-0.000184,-0.098266,0.250392,0.250392,0.234812,16.71922,33038140663.32702,0.607052,0.6662,0.220527,0.788564,0.714775,0.0,0.540148,"노출(beta/corr) 감소, Sharpe 개선, MDD 개선","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""GLD"": 11.6635, ""DBC"": 16.5046, ""__CASH__"": 5.1652}"
GLD + XLU,defensive|gold,PASS,PASS,50.0,4000000.0,3377009.172863,622990.827137,"{""GLD"": 2, ""XLU"": 29}",2,0.23801,0.172883,-0.35281,-0.238936,-0.032141,-0.023237,0.364272,0.318654,1.404444,1.669646,-0.00087,-0.000716,0.258598,0.403175,1.030114,0.804422,27.363052,32.276393,27.704652,0.000154,-0.144576,0.225691,0.225691,0.265202,18.883095,1652371122214.9956,0.747447,0.404558,0.692578,0.637167,0.797537,0.327885,0.640898,"Sharpe 개선, CVaR 개선, Stress 방어","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""GLD"": 11.6635, ""XLU"": 16.4782, ""__CASH__"": 5.1916}"
GLD + XLP,defensive|gold,PASS,PASS,50.0,4000000.0,3282638.707429,717361.292571,"{""GLD"": 2, ""XLP"": 15}",2,0.23801,0.171598,-0.35281,-0.243421,-0.032141,-0.023381,0.364272,0.307551,1.404444,1.617446,-0.00087,-0.000829,0.258598,0.408264,1.030114,0.79795,27.902922,31.005273,27.255663,4e-05,-0.149666,0.232164,0.232164,0.213002,15.166286,2488623226120.116,0.70392,0.359407,0.533864,0.676839,0.65538,0.497211,0.583109,"CVaR 개선, 노출(beta/corr) 감소, Sharpe 개선","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""GLD"": 11.6635, ""XLP"": 15.6918, ""__CASH__"": 5.978}"
GLD + XLE,commodity_energy|gold,PASS,PASS,50.0,4000000.0,3353811.855758,646188.144242,"{""GLD"": 2, ""XLE"": 24}",2,0.23801,0.179199,-0.35281,-0.179792,-0.032141,-0.024454,0.364272,0.332096,1.404444,1.685814,-0.00087,-0.000817,0.258598,0.373124,1.030114,0.837541,24.709542,49.039912,23.91773,5.3e-05,-0.114526,0.192573,0.192573,0.28137,20.034261,3906806842509.893,0.380325,1.0,0.550951,0.434174,0.841566,0.784367,0.610096,"MDD 개선, Sharpe 개선, 유동성 양호","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""GLD"": 11.6635, ""XLE"": 16.2849, ""__CASH__"": 5.3849}"
GLD + IEF,bond|gold,PASS,PASS,50.0,4000000.0,3376892.013801,623107.986199,"{""GLD"": 2, ""IEF"": 14}",2,0.23801,0.166396,-0.35281,-0.258027,-0.032141,-0.022432,0.364272,0.289691,1.404444,1.560678,-0.00087,-0.000642,0.258598,0.396942,1.030114,0.745226,30.088524,26.865347,30.20908,0.000228,-0.138344,0.284888,0.284888,0.156234,11.124266,1255579678910.7893,0.990238,0.212357,0.795626,1.0,0.500784,0.247542,0.710635,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""GLD"": 11.6635, ""IEF"": 16.4772, ""__CASH__"": 5.1926}"
GLD + TLT,bond|gold,PASS,PASS,50.0,4000000.0,3338874.310381,661125.689619,"{""GLD"": 2, ""TLT"": 15}",2,0.23801,0.168126,-0.35281,-0.274342,-0.032141,-0.022503,0.364272,0.284315,1.404444,1.512647,-0.00087,-0.000723,0.258598,0.403279,1.030114,0.745341,29.361963,22.241083,29.987164,0.000147,-0.144681,0.284772,0.284772,0.108203,7.704322,4971757120341.5625,0.968725,0.048102,0.68211,0.999292,0.369981,1.0,0.672023,"유동성 양호, 노출(beta/corr) 감소, CVaR 개선","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""GLD"": 11.6635, ""TLT"": 16.1604, ""__CASH__"": 5.5094}"
GLD + SHY,bond|gold,PASS,PASS,50.0,4000000.0,3337878.516199,662121.483801,"{""GLD"": 2, ""SHY"": 16}",2,0.23801,0.165774,-0.35281,-0.243996,-0.032141,-0.022399,0.364272,0.292246,1.404444,1.581951,-0.00087,-0.000626,0.258598,0.395368,1.030114,0.745869,30.350113,30.842091,30.309774,0.000244,-0.13677,0.284245,0.284245,0.177508,12.638992,534241832039.15826,1.0,0.353611,0.817818,0.99606,0.558718,0.101485,0.744838,"CVaR 개선, 노출(beta/corr) 감소, Stress 방어","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""GLD"": 11.6635, ""SHY"": 16.1521, ""__CASH__"": 5.5177}"
GLD + XLV,defensive|gold,PASS,PASS,50.0,4000000.0,3193891.734925,806108.265075,"{""GLD"": 2, ""XLV"": 8}",2,0.23801,0.173775,-0.35281,-0.24307,-0.032141,-0.023618,0.364272,0.303995,1.404444,1.576724,-0.00087,-0.000541,0.258598,0.441954,1.030114,0.811691,26.988555,31.104652,26.516263,0.000329,-0.183356,0.218423,0.218423,0.17228,12.266807,2989320532229.1396,0.632239,0.362937,0.936573,0.592619,0.544483,0.598593,0.624825,"Stress 방어, CVaR 개선, 유동성 양호","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""GLD"": 11.6635, ""XLV"": 14.9522, ""__CASH__"": 6.7176}"
