candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
GLD + BTC-USD,crypto|gold,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,30.0,3000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
GLD + USO,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,30.0,3000000.0,2794882.330101,205117.669899,"{""GLD"": 2, ""USO"": 9}",2,0.205068,0.173689,-0.190807,-0.154855,-0.025448,-0.02225,0.373135,0.357094,1.673272,1.883221,-0.000273,-0.000341,0.162454,0.23563,0.760965,0.665013,15.302084,18.842304,12.566707,-6.8e-05,-0.073176,0.095952,0.095952,0.209949,12.547194,1970411033369.56,0.160358,0.555029,0.616508,0.684816,0.914857,0.392282,0.470014,"Sharpe 개선, 노출(beta/corr) 감소, Stress 방어","{""MSFT"": 15.1315, ""NVDA"": 15.1315, ""AVGO"": 7.7407, ""XOM"": 8.6562, ""011200.KS"": 15.1315, ""207940.KS"": 15.1315, ""GLD"": 10.7663, ""USO"": 10.7328, ""__CASH__"": 1.5778}"
GLD + DBC,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,30.0,3000000.0,2895139.931135,104860.068865,"{""GLD"": 2, ""DBC"": 37}",2,0.205068,0.169745,-0.190807,-0.152733,-0.025448,-0.021755,0.373135,0.345652,1.673272,1.859567,-0.000273,-0.000551,0.162454,0.262883,0.760965,0.656282,17.225275,19.954193,14.511317,-0.000278,-0.100429,0.104683,0.104683,0.186295,11.133563,33038140663.32702,0.396749,0.622057,0.193388,0.765847,0.817929,0.0,0.460329,"Sharpe 개선, 노출(beta/corr) 감소, MDD 개선","{""MSFT"": 15.1315, ""NVDA"": 15.1315, ""AVGO"": 7.7407, ""XOM"": 8.6562, ""011200.KS"": 15.1315, ""207940.KS"": 15.1315, ""GLD"": 10.7663, ""DBC"": 11.504, ""__CASH__"": 0.8066}"
GLD + XLU,defensive|gold,FAIL,FAIL: Stress 개선 미달,30.0,3000000.0,2831523.386349,168476.613651,"{""GLD"": 2, ""XLU"": 21}",2,0.205068,0.167203,-0.190807,-0.168059,-0.025448,-0.021054,0.373135,0.347317,1.673272,1.897788,-0.000273,-0.000312,0.162454,0.287026,0.760965,0.670909,18.464532,11.922335,17.263925,-3.9e-05,-0.124572,0.090056,0.090056,0.224515,13.417744,1652371122214.9956,0.731363,0.137873,0.674919,0.630094,0.974547,0.327885,0.595394,"Sharpe 개선, CVaR 개선, Stress 방어","{""MSFT"": 15.1315, ""NVDA"": 15.1315, ""AVGO"": 7.7407, ""XOM"": 8.6562, ""011200.KS"": 15.1315, ""207940.KS"": 15.1315, ""GLD"": 10.7663, ""XLU"": 11.0146, ""__CASH__"": 1.296}"
GLD + XLP,defensive|gold,FAIL,FAIL: Stress 개선 미달,30.0,3000000.0,2780501.237915,219498.762085,"{""GLD"": 2, ""XLP"": 11}",2,0.205068,0.166458,-0.190807,-0.157617,-0.025448,-0.021056,0.373135,0.339978,1.673272,1.862204,-0.000273,-0.00039,0.162454,0.288394,0.760965,0.667297,18.828223,17.394702,17.258492,-0.000117,-0.12594,0.093668,0.093668,0.188932,11.291177,2488623226120.116,0.730702,0.467763,0.517839,0.663619,0.828736,0.497211,0.626962,"Sharpe 개선, CVaR 개선, 노출(beta/corr) 감소","{""MSFT"": 15.1315, ""NVDA"": 15.1315, ""AVGO"": 7.7407, ""XOM"": 8.6562, ""011200.KS"": 15.1315, ""207940.KS"": 15.1315, ""GLD"": 10.7663, ""XLP"": 10.6221, ""__CASH__"": 1.6885}"
GLD + XLE,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,30.0,3000000.0,2865264.691006,134735.308994,"{""GLD"": 2, ""XLE"": 18}",2,0.205068,0.173818,-0.190807,-0.150567,-0.025448,-0.022142,0.373135,0.357416,1.673272,1.883671,-0.000273,-0.000385,0.162454,0.277099,0.760965,0.696,15.239092,21.089486,12.990068,-0.000112,-0.114645,0.064965,0.064965,0.210398,12.574063,3906806842509.893,0.211823,0.690495,0.528632,0.39721,0.916699,0.784367,0.488573,"Sharpe 개선, 유동성 양호, MDD 개선","{""MSFT"": 15.1315, ""NVDA"": 15.1315, ""AVGO"": 7.7407, ""XOM"": 8.6562, ""011200.KS"": 15.1315, ""207940.KS"": 15.1315, ""GLD"": 10.7663, ""XLE"": 11.2742, ""__CASH__"": 1.0364}"
GLD + IEF,bond|gold,PASS,PASS,30.0,3000000.0,2811958.066072,188041.933928,"{""GLD"": 2, ""IEF"": 10}",2,0.205068,0.163047,-0.190807,-0.152132,-0.025448,-0.020511,0.373135,0.327277,1.673272,1.823264,-0.000273,-0.000263,0.162454,0.277884,0.760965,0.631054,20.491493,20.269144,19.400218,1e-05,-0.115431,0.129911,0.129911,0.149992,8.963976,1255579678910.7893,0.991056,0.641043,0.774936,1.0,0.669169,0.247542,0.809359,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""MSFT"": 15.1315, ""NVDA"": 15.1315, ""AVGO"": 7.7407, ""XOM"": 8.6562, ""011200.KS"": 15.1315, ""207940.KS"": 15.1315, ""GLD"": 10.7663, ""IEF"": 10.8641, ""__CASH__"": 1.4465}"
GLD + TLT,bond|gold,FAIL,FAIL: Stress 개선 미달,30.0,3000000.0,2821740.68008,178259.31992,"{""GLD"": 2, ""TLT"": 11}",2,0.205068,0.163403,-0.190807,-0.156008,-0.025448,-0.020492,0.373135,0.323948,1.673272,1.798915,-0.000273,-0.000318,0.162454,0.283899,0.760965,0.631685,20.317733,18.238188,19.473796,-4.5e-05,-0.121445,0.12928,0.12928,0.125643,7.508825,4971757120341.5625,1.0,0.518611,0.663118,0.994146,0.569394,1.0,0.7927,"CVaR 개선, 유동성 양호, 노출(beta/corr) 감소","{""MSFT"": 15.1315, ""NVDA"": 15.1315, ""AVGO"": 7.7407, ""XOM"": 8.6562, ""011200.KS"": 15.1315, ""207940.KS"": 15.1315, ""GLD"": 10.7663, ""TLT"": 10.9394, ""__CASH__"": 1.3712}"
GLD + SHY,bond|gold,PASS,PASS,30.0,3000000.0,2853314.686337,146685.313663,"{""GLD"": 2, ""SHY"": 12}",2,0.205068,0.163142,-0.190807,-0.14506,-0.025448,-0.020539,0.373135,0.32943,1.673272,1.835398,-0.000273,-0.000252,0.162454,0.279717,0.760965,0.632535,20.445236,23.975675,19.289772,2.1e-05,-0.117264,0.12843,0.12843,0.162125,9.689115,534241832039.15826,0.97763,0.864483,0.796102,0.986254,0.718889,0.101485,0.849876,"노출(beta/corr) 감소, CVaR 개선, MDD 개선","{""MSFT"": 15.1315, ""NVDA"": 15.1315, ""AVGO"": 7.7407, ""XOM"": 8.6562, ""011200.KS"": 15.1315, ""207940.KS"": 15.1315, ""GLD"": 10.7663, ""SHY"": 11.1822, ""__CASH__"": 1.1283}"
GLD + XLV,defensive|gold,PASS,PASS,30.0,3000000.0,2745324.600381,254675.399619,"{""GLD"": 2, ""XLV"": 6}",2,0.205068,0.167693,-0.190807,-0.154625,-0.025448,-0.021244,0.373135,0.338036,1.673272,1.836903,-0.000273,-0.000194,0.162454,0.317792,0.760965,0.678104,18.225839,18.962644,16.517369,8e-05,-0.155339,0.082861,0.082861,0.163631,9.779092,2989320532229.1396,0.64061,0.562283,0.915125,0.563312,0.725058,0.598593,0.678462,"Stress 방어, Sharpe 개선, CVaR 개선","{""MSFT"": 15.1315, ""NVDA"": 15.1315, ""AVGO"": 7.7407, ""XOM"": 8.6562, ""011200.KS"": 15.1315, ""207940.KS"": 15.1315, ""GLD"": 10.7663, ""XLV"": 10.3515, ""__CASH__"": 1.959}"
