candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
DBC + TLT,bond|commodity_energy,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1875048.761818,124951.238182,"{""DBC"": 24, ""TLT"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""DBC"": 6.929, ""TLT"": 6.4642, ""__CASH__"": 0.8925}"
DBC + SHY,bond|commodity_energy,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1939192.568515,60807.431485,"{""DBC"": 24, ""SHY"": 8}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""DBC"": 6.929, ""SHY"": 6.9223, ""__CASH__"": 0.4343}"
DBC + XLV,commodity_energy|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1867199.177878,132800.822122,"{""DBC"": 24, ""XLV"": 4}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""DBC"": 6.929, ""XLV"": 6.4081, ""__CASH__"": 0.9486}"
DBC + ETH-USD,commodity_energy|crypto,FAIL,FAIL: 예산 부족 - ETH-USD 1주 매수 불가,16.666667,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
XLU + XLE,commodity_energy|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1931694.455903,68305.544097,"{""XLU"": 14, ""XLE"": 12}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""XLU"": 6.8186, ""XLE"": 6.9792, ""__CASH__"": 0.4879}"
XLU + IEF,bond|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1943234.534924,56765.465076,"{""XLU"": 14, ""IEF"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""XLU"": 6.8186, ""IEF"": 7.0617, ""__CASH__"": 0.4055}"
XLU + TLT,bond|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1859583.979427,140416.020573,"{""XLU"": 14, ""TLT"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""XLU"": 6.8186, ""TLT"": 6.4642, ""__CASH__"": 1.003}"
XLU + SHY,bond|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1923727.786124,76272.213876,"{""XLU"": 14, ""SHY"": 8}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""XLU"": 6.8186, ""SHY"": 6.9223, ""__CASH__"": 0.5448}"
XLU + ETH-USD,crypto|defensive,FAIL,FAIL: 예산 부족 - ETH-USD 1주 매수 불가,16.666667,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
XLP + XLE,commodity_energy|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1855834.901154,144165.098846,"{""XLP"": 7, ""XLE"": 12}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""XLP"": 6.2767, ""XLE"": 6.9792, ""__CASH__"": 1.0298}"
XLP + IEF,bond|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1867374.980175,132625.019825,"{""XLP"": 7, ""IEF"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""XLP"": 6.2767, ""IEF"": 7.0617, ""__CASH__"": 0.9473}"
XLP + TLT,bond|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1783724.424678,216275.575322,"{""XLP"": 7, ""TLT"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""XLP"": 6.2767, ""TLT"": 6.4642, ""__CASH__"": 1.5448}"
XLP + SHY,bond|defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1847868.231375,152131.768625,"{""XLP"": 7, ""SHY"": 8}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""XLP"": 6.2767, ""SHY"": 6.9223, ""__CASH__"": 1.0867}"
XLP + ETH-USD,crypto|defensive,FAIL,FAIL: 예산 부족 - ETH-USD 1주 매수 불가,16.666667,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
XLE + IEF,bond|commodity_energy,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1965728.738029,34271.261971,"{""XLE"": 12, ""IEF"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""XLE"": 6.9792, ""IEF"": 7.0617, ""__CASH__"": 0.2448}"
XLE + TLT,bond|commodity_energy,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1882078.182532,117921.817468,"{""XLE"": 12, ""TLT"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""XLE"": 6.9792, ""TLT"": 6.4642, ""__CASH__"": 0.8423}"
