candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
BTC-USD + XLU,crypto|defensive,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + XLP,crypto|defensive,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + XLE,commodity_energy|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + IEF,bond|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + TLT,bond|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + SHY,bond|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + XLV,crypto|defensive,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
USO + XLU,commodity_energy|defensive,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달,20.0,2000000.0,1884772.881966,115227.118034,"{""USO"": 6, ""XLU"": 14}",2,0.184038,0.169113,-0.126908,-0.108818,-0.024964,-0.022993,0.313278,0.305722,1.539235,1.630401,-0.000407,-0.000429,0.246325,0.270045,0.225365,0.271397,8.110062,14.254027,7.897418,-2.2e-05,-0.023719,-0.046033,-0.023719,0.091166,5.922826,1652371122214.9956,0.481333,0.627277,0.535911,0.359129,0.857196,0.418025,0.543638,"Sharpe 개선, MDD 개선, Stress 방어","{""GLD"": 83.3333, ""USO"": 7.7514, ""XLU"": 7.955, ""__CASH__"": 0.9602}"
USO + XLP,commodity_energy|defensive,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달,20.0,2000000.0,1808913.327217,191086.672783,"{""USO"": 6, ""XLP"": 7}",2,0.184038,0.167438,-0.126908,-0.105673,-0.024964,-0.022838,0.313278,0.300717,1.539235,1.616818,-0.000407,-0.000479,0.246325,0.268514,0.225365,0.266607,9.020044,16.732209,8.516082,-7.2e-05,-0.022189,-0.041243,-0.022189,0.077583,5.040371,1970411033369.56,0.55517,0.813039,0.390312,0.391763,0.785581,0.500126,0.57772,"MDD 개선, Sharpe 개선, CVaR 개선","{""GLD"": 83.3333, ""USO"": 7.7514, ""XLP"": 7.3228, ""__CASH__"": 1.5924}"
USO + IEF,bond|commodity_energy,FAIL,FAIL: beta/corr 감소 미달,20.0,2000000.0,1918807.164092,81192.835908,"{""USO"": 6, ""IEF"": 7}",2,0.184038,0.168114,-0.126908,-0.108014,-0.024964,-0.022904,0.313278,0.29159,1.539235,1.556034,-0.000407,-0.000404,0.246325,0.268434,0.225365,0.243792,8.653044,14.88806,8.253336,3e-06,-0.022109,-0.018427,-0.018427,0.016799,1.091356,1255579678910.7893,0.523811,0.674803,0.6079,0.471985,0.465102,0.315595,0.549363,"MDD 개선, Stress 방어, CVaR 개선","{""GLD"": 83.3333, ""USO"": 7.7514, ""IEF"": 8.2386, ""__CASH__"": 0.6766}"
USO + TLT,bond|commodity_energy,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달,20.0,2000000.0,1835156.608595,164843.391405,"{""USO"": 6, ""TLT"": 7}",2,0.184038,0.168299,-0.126908,-0.11398,-0.024964,-0.02286,0.313278,0.286899,1.539235,1.526444,-0.000407,-0.000454,0.246325,0.26934,0.225365,0.242867,8.552264,10.186896,8.42715,-4.7e-05,-0.023015,-0.017503,-0.017503,-0.012791,-0.830982,1970411033369.56,0.544556,0.322409,0.461724,0.491698,0.309097,0.500126,0.452507,"CVaR 개선, 유동성 양호, 노출(beta/corr) 감소","{""GLD"": 83.3333, ""USO"": 7.7514, ""TLT"": 7.5415, ""__CASH__"": 1.3737}"
USO + SHY,bond|commodity_energy,FAIL,FAIL: beta/corr 감소 미달,20.0,2000000.0,1899300.415292,100699.584708,"{""USO"": 6, ""SHY"": 8}",2,0.184038,0.167292,-0.126908,-0.107781,-0.024964,-0.022831,0.313278,0.294255,1.539235,1.579606,-0.000407,-0.000389,0.246325,0.268491,0.225365,0.24414,9.099458,15.071551,8.545002,1.8e-05,-0.022165,-0.018775,-0.018775,0.040371,2.622765,534241832039.15826,0.558622,0.688557,0.652209,0.464562,0.589382,0.129384,0.575535,"MDD 개선, Stress 방어, Sharpe 개선","{""GLD"": 83.3333, ""USO"": 7.7514, ""SHY"": 8.0761, ""__CASH__"": 0.8392}"
USO + XLV,commodity_energy|defensive,FAIL,FAIL: beta/corr 감소 미달,20.0,2000000.0,1827307.024655,172692.975345,"{""USO"": 6, ""XLV"": 4}",2,0.184038,0.167201,-0.126908,-0.106798,-0.024964,-0.022769,0.313278,0.300235,1.539235,1.616231,-0.000407,-0.000356,0.246325,0.277573,0.225365,0.276434,9.149122,15.845596,8.792211,5.1e-05,-0.031248,-0.051069,-0.031248,0.076996,5.002214,1970411033369.56,0.588126,0.746579,0.747669,0.198593,0.782484,0.500126,0.627808,"Sharpe 개선, Stress 방어, MDD 개선","{""GLD"": 83.3333, ""USO"": 7.7514, ""XLV"": 7.4761, ""__CASH__"": 1.4391}"
USO + ETH-USD,commodity_energy|crypto,FAIL,FAIL: 예산 부족 - ETH-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
DBC + XLU,commodity_energy|defensive,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달,20.0,2000000.0,1924665.03519,75334.96481,"{""DBC"": 24, ""XLU"": 14}",2,0.184038,0.16763,-0.126908,-0.110796,-0.024964,-0.022885,0.313278,0.29615,1.539235,1.587719,-0.000407,-0.000563,0.246325,0.272395,0.225365,0.26405,8.915633,12.695947,8.329088,-0.000156,-0.02607,-0.038685,-0.02607,0.048483,3.149834,33038140663.32702,0.532852,0.510485,0.145599,0.309003,0.632156,0.0,0.411831,"Sharpe 개선, CVaR 개선, MDD 개선","{""GLD"": 83.3333, ""DBC"": 8.0839, ""XLU"": 7.955, ""__CASH__"": 0.6278}"
