ticker,asset_class,currency,vol_annual,mdd_1y,var_95_1y,cvar_95_1y,beta_sp500_1y,downside_beta_sp500_1y,corr_sp500_60d,corr_kospi200_60d,avg_stress_ret,adv_60,vol_annual_krw,mdd_1y_krw,var_95_1y_krw,cvar_95_1y_krw,beta_sp500_1y_krw,downside_beta_sp500_1y_krw,corr_sp500_60d_krw,corr_kospi200_60d_krw,avg_stress_ret_krw,annual_return_1y_krw,sharpe_1y_krw_proxy,data_version
105560.KS,kr_stock,KRW,0.343643,-0.176359,-0.034217,-0.050839,-0.043784,-0.038053,-0.217528,0.666015,-0.004102,170752232071.26846,0.343643,-0.176359,-0.034217,-0.050839,-0.043784,-0.038053,-0.217528,0.666015,-0.004102,1.003686,2.568782,20260311
207940.KS,kr_stock,KRW,0.298772,-0.228499,-0.033445,-0.053442,-0.074738,-0.233227,-0.438906,0.64988,-0.001544,102577613366.66667,0.298772,-0.228499,-0.033445,-0.053442,-0.074738,-0.233227,-0.438906,0.64988,-0.001544,-0.046733,-0.218066,20260311
AAPL,us_stock,USD,0.282572,-0.221148,-0.032886,-0.050266,1.204088,1.252175,0.601582,-0.390533,0.000211,18589798397303.24,0.282572,-0.221148,-0.032886,-0.050266,1.204088,1.252175,0.601582,-0.390533,0.000211,0.109387,0.239907,20260311
AMZN,us_stock,USD,0.35537,-0.211379,-0.033416,-0.050219,1.400068,1.55417,0.545025,-0.267464,0.001419,15822121891734.729,0.35537,-0.211379,-0.033416,-0.050219,1.400068,1.55417,0.545025,-0.267464,0.001419,0.089047,0.161839,20260311
AVGO,us_stock,USD,0.427518,-0.263454,-0.041833,-0.061772,1.532588,1.527886,0.570224,-0.186229,0.001733,15729507019180.102,0.427518,-0.263454,-0.041833,-0.061772,1.532588,1.527886,0.570224,-0.186229,0.001733,0.795086,1.572002,20260311
BNB-USD,crypto,USD,0.588237,-0.547629,-0.041879,-0.072363,1.049645,1.064024,0.587541,-0.178945,0.009049,2337026938960560.0,0.588237,-0.547629,-0.041879,-0.072363,1.049645,1.064024,0.587541,-0.178945,0.009049,0.0716,0.084136,20260311
BRK-B,us_stock,USD,0.192631,-0.194209,-0.019204,-0.035583,0.725596,0.749844,0.338233,-0.344637,0.001755,3534033754101.8276,0.192631,-0.194209,-0.019204,-0.035583,0.725596,0.749844,0.338233,-0.344637,0.001755,0.0094,-0.095931,20260311
BTC-USD,crypto,USD,0.470307,-0.479496,-0.036802,-0.0553,1.099705,1.000792,0.65752,-0.257135,0.007618,5.115244366438626e+18,0.470307,-0.479496,-0.036802,-0.0553,1.099705,1.000792,0.65752,-0.257135,0.007618,-0.287878,-0.819497,20260311
COST,us_stock,USD,0.241978,-0.149391,-0.025359,-0.034478,0.841169,0.901114,0.501529,-0.400483,-0.000411,3561076595579.6377,0.241978,-0.149391,-0.025359,-0.034478,0.841169,0.901114,0.501529,-0.400483,-0.000411,0.051424,0.091445,20260311
DBC,commodity_etf,USD,0.209656,-0.145722,-0.016677,-0.030896,0.403289,0.602513,0.337271,-0.012516,-0.002503,33038140663.32702,0.209656,-0.145722,-0.016677,-0.030896,0.403289,0.602513,0.337271,-0.012516,-0.002503,0.315869,1.387443,20260311
DIA,etf,USD,0.163211,-0.130647,-0.019458,-0.029796,0.838967,0.824424,0.912647,-0.463046,-3.1e-05,4586032485873.233,0.163211,-0.130647,-0.019458,-0.029796,0.838967,0.824424,0.912647,-0.463046,-3.1e-05,0.146633,0.616525,20260311
