ticker,asset_class,currency,factor,factor_label,direction,magnitude,sensitivity_level,raw_value,value_basis,sign_positive_meaning,sign_negative_meaning,structural_tags,evidence_metrics
BRK-B,us_stock,USD,downside_beta_sp500,S&P500 downside beta,positive,0.749844,medium,0.749844,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,usd_exposure,downside_beta_sp500_1y_krw=0.749844
BRK-B,us_stock,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.338233,medium,0.338233,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,corr_sp500_60d_krw=0.338233
BRK-B,us_stock,USD,corr_kospi200_60d,KOSPI200 60d correlation,negative,0.344637,medium,-0.344637,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,usd_exposure,corr_kospi200_60d_krw=-0.344637
BRK-B,us_stock,USD,stress_response,Stress-period average return,positive,0.001755,medium,0.001755,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,usd_exposure,avg_stress_ret_krw=0.001755
BTC-USD,crypto,USD,market_beta_sp500,S&P500 beta,positive,1.097302,high,1.097302,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,beta_sp500_1y_krw=1.097302
BTC-USD,crypto,USD,downside_beta_sp500,S&P500 downside beta,positive,0.996664,medium,0.996664,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,usd_exposure,downside_beta_sp500_1y_krw=0.996664
BTC-USD,crypto,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.642993,high,0.642993,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,corr_sp500_60d_krw=0.642993
BTC-USD,crypto,USD,corr_kospi200_60d,KOSPI200 60d correlation,negative,0.247765,low,-0.247765,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,usd_exposure,corr_kospi200_60d_krw=-0.247765
BTC-USD,crypto,USD,stress_response,Stress-period average return,positive,0.007618,high,0.007618,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,usd_exposure,avg_stress_ret_krw=0.007618
COST,us_stock,USD,market_beta_sp500,S&P500 beta,positive,0.841169,medium,0.841169,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,beta_sp500_1y_krw=0.841169
COST,us_stock,USD,downside_beta_sp500,S&P500 downside beta,positive,0.901112,medium,0.901112,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,usd_exposure,downside_beta_sp500_1y_krw=0.901112
COST,us_stock,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.501529,medium,0.501529,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,corr_sp500_60d_krw=0.501529
COST,us_stock,USD,corr_kospi200_60d,KOSPI200 60d correlation,negative,0.400483,medium,-0.400483,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,usd_exposure,corr_kospi200_60d_krw=-0.400483
COST,us_stock,USD,stress_response,Stress-period average return,neutral,0.000411,low,-0.000411,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,usd_exposure,avg_stress_ret_krw=-0.000411
DBC,commodity_etf,USD,market_beta_sp500,S&P500 beta,positive,0.403289,medium,0.403289,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,inflation_proxy|usd_exposure,beta_sp500_1y_krw=0.403289
DBC,commodity_etf,USD,downside_beta_sp500,S&P500 downside beta,positive,0.602515,medium,0.602515,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,inflation_proxy|usd_exposure,downside_beta_sp500_1y_krw=0.602515
DBC,commodity_etf,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.337271,medium,0.337271,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,inflation_proxy|usd_exposure,corr_sp500_60d_krw=0.337271
DBC,commodity_etf,USD,corr_kospi200_60d,KOSPI200 60d correlation,neutral,0.012516,low,-0.012516,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,inflation_proxy|usd_exposure,corr_kospi200_60d_krw=-0.012516
DBC,commodity_etf,USD,stress_response,Stress-period average return,negative,0.002503,medium,-0.002503,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,inflation_proxy|usd_exposure,avg_stress_ret_krw=-0.002503
DIA,etf,USD,market_beta_sp500,S&P500 beta,positive,0.838967,medium,0.838967,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,beta_sp500_1y_krw=0.838967
DIA,etf,USD,downside_beta_sp500,S&P500 downside beta,positive,0.824424,medium,0.824424,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,usd_exposure,downside_beta_sp500_1y_krw=0.824424
DIA,etf,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.912647,high,0.912647,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,corr_sp500_60d_krw=0.912647
DIA,etf,USD,corr_kospi200_60d,KOSPI200 60d correlation,negative,0.463046,medium,-0.463046,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,usd_exposure,corr_kospi200_60d_krw=-0.463046
DIA,etf,USD,stress_response,Stress-period average return,neutral,3.1e-05,low,-3.1e-05,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,usd_exposure,avg_stress_ret_krw=-3.1e-05
EFA,etf,USD,market_beta_sp500,S&P500 beta,positive,0.764659,medium,0.764659,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,beta_sp500_1y_krw=0.764659
EFA,etf,USD,downside_beta_sp500,S&P500 downside beta,positive,0.737578,medium,0.737578,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,usd_exposure,downside_beta_sp500_1y_krw=0.737578
EFA,etf,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.831765,high,0.831765,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,corr_sp500_60d_krw=0.831765
EFA,etf,USD,corr_kospi200_60d,KOSPI200 60d correlation,negative,0.357034,medium,-0.357034,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,usd_exposure,corr_kospi200_60d_krw=-0.357034
EFA,etf,USD,stress_response,Stress-period average return,positive,0.00087,low,0.00087,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,usd_exposure,avg_stress_ret_krw=0.00087
ETH-USD,crypto,USD,market_beta_sp500,S&P500 beta,positive,1.441458,high,1.441458,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,beta_sp500_1y_krw=1.441458
ETH-USD,crypto,USD,downside_beta_sp500,S&P500 downside beta,positive,1.427841,high,1.427841,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,usd_exposure,downside_beta_sp500_1y_krw=1.427841
ETH-USD,crypto,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.616198,high,0.616198,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,corr_sp500_60d_krw=0.616198
ETH-USD,crypto,USD,corr_kospi200_60d,KOSPI200 60d correlation,negative,0.159826,low,-0.159826,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,usd_exposure,corr_kospi200_60d_krw=-0.159826
ETH-USD,crypto,USD,stress_response,Stress-period average return,positive,0.006639,high,0.006639,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,usd_exposure,avg_stress_ret_krw=0.006639
EWY,etf,USD,market_beta_sp500,S&P500 beta,positive,0.820198,medium,0.820198,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,beta_sp500_1y_krw=0.820198
EWY,etf,USD,downside_beta_sp500,S&P500 downside beta,positive,0.812764,medium,0.812764,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,usd_exposure,downside_beta_sp500_1y_krw=0.812764
EWY,etf,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.553482,medium,0.553482,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,corr_sp500_60d_krw=0.553482
EWY,etf,USD,corr_kospi200_60d,KOSPI200 60d correlation,neutral,0.040387,low,-0.040387,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,usd_exposure,corr_kospi200_60d_krw=-0.040387
EWY,etf,USD,stress_response,Stress-period average return,negative,0.003603,high,-0.003603,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,usd_exposure,avg_stress_ret_krw=-0.003603
GLD,gold_etf,USD,market_beta_sp500,S&P500 beta,positive,0.225365,low,0.225365,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,defensive_proxy|inflation_proxy|usd_exposure,beta_sp500_1y_krw=0.225365
GLD,gold_etf,USD,downside_beta_sp500,S&P500 downside beta,positive,0.258398,low,0.258398,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,defensive_proxy|inflation_proxy|usd_exposure,downside_beta_sp500_1y_krw=0.258398
GLD,gold_etf,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.246325,low,0.246325,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,defensive_proxy|inflation_proxy|usd_exposure,corr_sp500_60d_krw=0.246325
GLD,gold_etf,USD,corr_kospi200_60d,KOSPI200 60d correlation,neutral,0.07153,low,0.07153,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,defensive_proxy|inflation_proxy|usd_exposure,corr_kospi200_60d_krw=0.07153
GLD,gold_etf,USD,stress_response,Stress-period average return,neutral,0.000407,low,-0.000407,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,defensive_proxy|inflation_proxy|usd_exposure,avg_stress_ret_krw=-0.000407
GOOGL,us_stock,USD,market_beta_sp500,S&P500 beta,positive,1.174795,high,1.174795,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,beta_sp500_1y_krw=1.174795
GOOGL,us_stock,USD,downside_beta_sp500,S&P500 downside beta,positive,1.11653,high,1.11653,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,usd_exposure,downside_beta_sp500_1y_krw=1.11653
GOOGL,us_stock,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.612115,high,0.612115,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,corr_sp500_60d_krw=0.612115
GOOGL,us_stock,USD,corr_kospi200_60d,KOSPI200 60d correlation,negative,0.333312,medium,-0.333312,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,usd_exposure,corr_kospi200_60d_krw=-0.333312
GOOGL,us_stock,USD,stress_response,Stress-period average return,neutral,0.000463,low,0.000463,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,usd_exposure,avg_stress_ret_krw=0.000463
HD,us_stock,USD,market_beta_sp500,S&P500 beta,positive,0.848152,medium,0.848152,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,beta_sp500_1y_krw=0.848152
HD,us_stock,USD,downside_beta_sp500,S&P500 downside beta,positive,0.738921,medium,0.738921,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,usd_exposure,downside_beta_sp500_1y_krw=0.738921
HD,us_stock,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.462812,medium,0.462812,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,corr_sp500_60d_krw=0.462812
HD,us_stock,USD,corr_kospi200_60d,KOSPI200 60d correlation,negative,0.270866,low,-0.270866,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,usd_exposure,corr_kospi200_60d_krw=-0.270866
HD,us_stock,USD,stress_response,Stress-period average return,neutral,0.000149,low,-0.000149,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,usd_exposure,avg_stress_ret_krw=-0.000149
HYG,bond_etf,USD,market_beta_sp500,S&P500 beta,positive,0.446983,medium,0.446983,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,defensive_proxy|rate_proxy|usd_exposure,beta_sp500_1y_krw=0.446983
HYG,bond_etf,USD,downside_beta_sp500,S&P500 downside beta,positive,0.431126,medium,0.431126,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,defensive_proxy|rate_proxy|usd_exposure,downside_beta_sp500_1y_krw=0.431126
HYG,bond_etf,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.803406,high,0.803406,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,defensive_proxy|rate_proxy|usd_exposure,corr_sp500_60d_krw=0.803406
HYG,bond_etf,USD,corr_kospi200_60d,KOSPI200 60d correlation,negative,0.620979,high,-0.620979,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,defensive_proxy|rate_proxy|usd_exposure,corr_kospi200_60d_krw=-0.620979
HYG,bond_etf,USD,stress_response,Stress-period average return,neutral,0.000296,low,0.000296,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,defensive_proxy|rate_proxy|usd_exposure,avg_stress_ret_krw=0.000296
IAU,gold_etf,USD,market_beta_sp500,S&P500 beta,positive,0.224879,low,0.224879,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,defensive_proxy|inflation_proxy|usd_exposure,beta_sp500_1y_krw=0.224879
IAU,gold_etf,USD,downside_beta_sp500,S&P500 downside beta,positive,0.259402,low,0.259402,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,defensive_proxy|inflation_proxy|usd_exposure,downside_beta_sp500_1y_krw=0.259402
IAU,gold_etf,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.245317,low,0.245317,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,defensive_proxy|inflation_proxy|usd_exposure,corr_sp500_60d_krw=0.245317
IAU,gold_etf,USD,corr_kospi200_60d,KOSPI200 60d correlation,neutral,0.069636,low,0.069636,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,defensive_proxy|inflation_proxy|usd_exposure,corr_kospi200_60d_krw=0.069636
IAU,gold_etf,USD,stress_response,Stress-period average return,neutral,0.000411,low,-0.000411,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,defensive_proxy|inflation_proxy|usd_exposure,avg_stress_ret_krw=-0.000411
IEF,bond_etf,USD,market_beta_sp500,S&P500 beta,positive,0.194679,low,0.194679,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,defensive_proxy|rate_proxy|usd_exposure,beta_sp500_1y_krw=0.194679
IEF,bond_etf,USD,downside_beta_sp500,S&P500 downside beta,positive,0.14356,low,0.14356,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,defensive_proxy|rate_proxy|usd_exposure,downside_beta_sp500_1y_krw=0.14356
IEF,bond_etf,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.642839,high,0.642839,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,defensive_proxy|rate_proxy|usd_exposure,corr_sp500_60d_krw=0.642839
IEF,bond_etf,USD,corr_kospi200_60d,KOSPI200 60d correlation,negative,0.594506,medium,-0.594506,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,defensive_proxy|rate_proxy|usd_exposure,corr_kospi200_60d_krw=-0.594506
IEF,bond_etf,USD,stress_response,Stress-period average return,neutral,4.2e-05,low,4.2e-05,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,defensive_proxy|rate_proxy|usd_exposure,avg_stress_ret_krw=4.2e-05
ITA,etf,USD,market_beta_sp500,S&P500 beta,positive,0.856042,medium,0.856042,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|usd_exposure,beta_sp500_1y_krw=0.856042
ITA,etf,USD,downside_beta_sp500,S&P500 downside beta,positive,0.857519,medium,0.857519,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,geopolitical_proxy|usd_exposure,downside_beta_sp500_1y_krw=0.857519
ITA,etf,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.717407,high,0.717407,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|usd_exposure,corr_sp500_60d_krw=0.717407
ITA,etf,USD,corr_kospi200_60d,KOSPI200 60d correlation,negative,0.184991,low,-0.184991,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,geopolitical_proxy|usd_exposure,corr_kospi200_60d_krw=-0.184991
ITA,etf,USD,stress_response,Stress-period average return,positive,0.000838,low,0.000838,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,geopolitical_proxy|usd_exposure,avg_stress_ret_krw=0.000838
IWM,etf,USD,market_beta_sp500,S&P500 beta,positive,1.094901,high,1.094901,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,beta_sp500_1y_krw=1.094901
IWM,etf,USD,downside_beta_sp500,S&P500 downside beta,positive,1.022734,high,1.022734,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,usd_exposure,downside_beta_sp500_1y_krw=1.022734
IWM,etf,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.872419,high,0.872419,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,corr_sp500_60d_krw=0.872419
IWM,etf,USD,corr_kospi200_60d,KOSPI200 60d correlation,negative,0.32347,medium,-0.32347,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,usd_exposure,corr_kospi200_60d_krw=-0.32347
IWM,etf,USD,stress_response,Stress-period average return,neutral,0.000445,low,0.000445,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,usd_exposure,avg_stress_ret_krw=0.000445
JNJ,us_stock,USD,market_beta_sp500,S&P500 beta,positive,0.369782,low,0.369782,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,defensive_proxy|usd_exposure,beta_sp500_1y_krw=0.369782
JNJ,us_stock,USD,downside_beta_sp500,S&P500 downside beta,positive,0.335896,low,0.335896,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,defensive_proxy|usd_exposure,downside_beta_sp500_1y_krw=0.335896
JNJ,us_stock,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.365938,medium,0.365938,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,defensive_proxy|usd_exposure,corr_sp500_60d_krw=0.365938
JNJ,us_stock,USD,corr_kospi200_60d,KOSPI200 60d correlation,negative,0.364794,medium,-0.364794,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,defensive_proxy|usd_exposure,corr_kospi200_60d_krw=-0.364794
JNJ,us_stock,USD,stress_response,Stress-period average return,neutral,0.000279,low,0.000279,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,defensive_proxy|usd_exposure,avg_stress_ret_krw=0.000279
JPM,us_stock,USD,market_beta_sp500,S&P500 beta,positive,0.932575,medium,0.932575,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,beta_sp500_1y_krw=0.932575
JPM,us_stock,USD,downside_beta_sp500,S&P500 downside beta,positive,0.955281,medium,0.955281,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,usd_exposure,downside_beta_sp500_1y_krw=0.955281
JPM,us_stock,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.648674,high,0.648674,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,corr_sp500_60d_krw=0.648674
JPM,us_stock,USD,corr_kospi200_60d,KOSPI200 60d correlation,negative,0.193683,low,-0.193683,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,usd_exposure,corr_kospi200_60d_krw=-0.193683
JPM,us_stock,USD,stress_response,Stress-period average return,positive,0.002874,medium,0.002874,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,usd_exposure,avg_stress_ret_krw=0.002874
KO,us_stock,USD,market_beta_sp500,S&P500 beta,positive,0.439144,medium,0.439144,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,defensive_proxy|usd_exposure,beta_sp500_1y_krw=0.439144
KO,us_stock,USD,downside_beta_sp500,S&P500 downside beta,positive,0.449076,medium,0.449076,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,defensive_proxy|usd_exposure,downside_beta_sp500_1y_krw=0.449076
KO,us_stock,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.299324,low,0.299324,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,defensive_proxy|usd_exposure,corr_sp500_60d_krw=0.299324
KO,us_stock,USD,corr_kospi200_60d,KOSPI200 60d correlation,negative,0.284008,low,-0.284008,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,defensive_proxy|usd_exposure,corr_kospi200_60d_krw=-0.284008
KO,us_stock,USD,stress_response,Stress-period average return,negative,0.001187,low,-0.001187,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,defensive_proxy|usd_exposure,avg_stress_ret_krw=-0.001187
LQD,bond_etf,USD,market_beta_sp500,S&P500 beta,positive,0.314211,low,0.314211,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,defensive_proxy|rate_proxy|usd_exposure,beta_sp500_1y_krw=0.314211
LQD,bond_etf,USD,downside_beta_sp500,S&P500 downside beta,positive,0.259538,low,0.259538,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,defensive_proxy|rate_proxy|usd_exposure,downside_beta_sp500_1y_krw=0.259538
LQD,bond_etf,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.728772,high,0.728772,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,defensive_proxy|rate_proxy|usd_exposure,corr_sp500_60d_krw=0.728772
LQD,bond_etf,USD,corr_kospi200_60d,KOSPI200 60d correlation,negative,0.61499,high,-0.61499,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,defensive_proxy|rate_proxy|usd_exposure,corr_kospi200_60d_krw=-0.61499
LQD,bond_etf,USD,stress_response,Stress-period average return,neutral,0.000323,low,-0.000323,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,defensive_proxy|rate_proxy|usd_exposure,avg_stress_ret_krw=-0.000323
MA,us_stock,USD,market_beta_sp500,S&P500 beta,positive,0.943194,medium,0.943194,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,beta_sp500_1y_krw=0.943194
MA,us_stock,USD,downside_beta_sp500,S&P500 downside beta,positive,0.8635,medium,0.8635,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,usd_exposure,downside_beta_sp500_1y_krw=0.8635
MA,us_stock,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.450926,medium,0.450926,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,corr_sp500_60d_krw=0.450926
MA,us_stock,USD,corr_kospi200_60d,KOSPI200 60d correlation,negative,0.324144,medium,-0.324144,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,usd_exposure,corr_kospi200_60d_krw=-0.324144
MA,us_stock,USD,stress_response,Stress-period average return,positive,0.00256,medium,0.00256,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,usd_exposure,avg_stress_ret_krw=0.00256
META,us_stock,USD,market_beta_sp500,S&P500 beta,positive,1.462456,high,1.462456,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,beta_sp500_1y_krw=1.462456
META,us_stock,USD,downside_beta_sp500,S&P500 downside beta,positive,1.463222,high,1.463222,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,usd_exposure,downside_beta_sp500_1y_krw=1.463222
META,us_stock,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.415511,medium,0.415511,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,corr_sp500_60d_krw=0.415511
META,us_stock,USD,corr_kospi200_60d,KOSPI200 60d correlation,negative,0.254288,low,-0.254288,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,usd_exposure,corr_kospi200_60d_krw=-0.254288
META,us_stock,USD,stress_response,Stress-period average return,negative,0.002264,medium,-0.002264,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,usd_exposure,avg_stress_ret_krw=-0.002264
MSFT,us_stock,USD,market_beta_sp500,S&P500 beta,positive,1.100525,high,1.100525,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,beta_sp500_1y_krw=1.100525
MSFT,us_stock,USD,downside_beta_sp500,S&P500 downside beta,positive,1.096526,high,1.096526,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,usd_exposure,downside_beta_sp500_1y_krw=1.096526
MSFT,us_stock,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.389777,medium,0.389777,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,corr_sp500_60d_krw=0.389777
MSFT,us_stock,USD,corr_kospi200_60d,KOSPI200 60d correlation,negative,0.147359,low,-0.147359,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,usd_exposure,corr_kospi200_60d_krw=-0.147359
MSFT,us_stock,USD,stress_response,Stress-period average return,positive,0.001466,low,0.001466,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,usd_exposure,avg_stress_ret_krw=0.001466
NVDA,us_stock,USD,market_beta_sp500,S&P500 beta,positive,1.919334,high,1.919334,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,beta_sp500_1y_krw=1.919334
NVDA,us_stock,USD,downside_beta_sp500,S&P500 downside beta,positive,1.809297,high,1.809297,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,usd_exposure,downside_beta_sp500_1y_krw=1.809297
NVDA,us_stock,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.670944,high,0.670944,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,corr_sp500_60d_krw=0.670944
