ticker,asset_class,currency,factor,factor_label,direction,magnitude,sensitivity_level,raw_value,value_basis,sign_positive_meaning,sign_negative_meaning,structural_tags,evidence_metrics
005380.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.002556,medium,-0.002556,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,,avg_stress_ret_krw=-0.002556
005490.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.084799,low,-0.084799,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,,beta_sp500_1y_krw=-0.084799
005490.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,negative,0.122753,low,-0.122753,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,,downside_beta_sp500_1y_krw=-0.122753
005490.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.370433,medium,-0.370433,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,,corr_sp500_60d_krw=-0.370433
005490.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.651178,high,0.651178,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,,corr_kospi200_60d_krw=0.651178
005490.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.006627,high,-0.006627,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,,avg_stress_ret_krw=-0.006627
005930.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.073128,low,-0.073128,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,,beta_sp500_1y_krw=-0.073128
005930.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.029293,low,-0.029293,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,,downside_beta_sp500_1y_krw=-0.029293
005930.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.462833,medium,-0.462833,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,,corr_sp500_60d_krw=-0.462833
005930.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.942501,high,0.942501,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,,corr_kospi200_60d_krw=0.942501
005930.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.005609,high,-0.005609,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,,avg_stress_ret_krw=-0.005609
006400.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,negative,0.138227,low,-0.138227,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,,beta_sp500_1y_krw=-0.138227
006400.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,negative,0.130596,low,-0.130596,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,,downside_beta_sp500_1y_krw=-0.130596
006400.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.403416,medium,-0.403416,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,,corr_sp500_60d_krw=-0.403416
006400.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.667757,high,0.667757,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,,corr_kospi200_60d_krw=0.667757
006400.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.008172,high,-0.008172,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,,avg_stress_ret_krw=-0.008172
011200.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,negative,0.183994,low,-0.183994,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,,beta_sp500_1y_krw=-0.183994
011200.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,negative,0.189747,low,-0.189747,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,,downside_beta_sp500_1y_krw=-0.189747
011200.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.375652,medium,-0.375652,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,,corr_sp500_60d_krw=-0.375652
011200.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.284802,low,0.284802,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,,corr_kospi200_60d_krw=0.284802
011200.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.004006,high,-0.004006,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,,avg_stress_ret_krw=-0.004006
017670.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,negative,0.107411,low,-0.107411,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,,beta_sp500_1y_krw=-0.107411
017670.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.04095,low,0.04095,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,,downside_beta_sp500_1y_krw=0.04095
017670.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.517674,medium,-0.517674,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,,corr_sp500_60d_krw=-0.517674
017670.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.556594,medium,0.556594,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,,corr_kospi200_60d_krw=0.556594
017670.KS,kr_stock,KRW,stress_response,Stress-period average return,neutral,0.000498,low,-0.000498,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,,avg_stress_ret_krw=-0.000498
032830.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.093767,low,-0.093767,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,,beta_sp500_1y_krw=-0.093767
032830.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.075107,low,-0.075107,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,,downside_beta_sp500_1y_krw=-0.075107
032830.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.422607,medium,-0.422607,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,,corr_sp500_60d_krw=-0.422607
032830.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.685514,high,0.685514,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,,corr_kospi200_60d_krw=0.685514
032830.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.003578,high,-0.003578,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,,avg_stress_ret_krw=-0.003578
