ticker,asset_class,currency,vol_annual,mdd_1y,var_95_1y,cvar_95_1y,beta_sp500_1y,downside_beta_sp500_1y,corr_sp500_60d,corr_kospi200_60d,avg_stress_ret,adv_60,vol_annual_krw,mdd_1y_krw,var_95_1y_krw,cvar_95_1y_krw,beta_sp500_1y_krw,downside_beta_sp500_1y_krw,corr_sp500_60d_krw,corr_kospi200_60d_krw,avg_stress_ret_krw,annual_return_1y_krw,sharpe_1y_krw_proxy,data_version
066570.KS,kr_stock,KRW,0.369477,-0.256987,-0.034778,-0.058255,-0.00832,0.099759,-0.254559,0.574431,-0.006067,190059065121.66666,0.369477,-0.256987,-0.034778,-0.058255,-0.00832,0.099759,-0.254559,0.574431,-0.006067,0.431608,0.853267,20260311T191644822219-60e09191
068270.KS,kr_stock,KRW,0.370378,-0.205634,-0.032667,-0.049117,-0.127553,-0.1212,-0.295603,0.655309,-0.001792,166015865928.41223,0.370378,-0.205634,-0.032667,-0.049117,-0.127553,-0.1212,-0.295603,0.655309,-0.001792,0.226233,0.534876,20260311T191644822219-60e09191
105560.KS,kr_stock,KRW,0.342565,-0.176359,-0.034217,-0.050839,-0.043784,-0.038052,-0.217528,0.663086,-0.004102,172055169166.26846,0.342565,-0.176359,-0.034217,-0.050839,-0.043784,-0.038052,-0.217528,0.663086,-0.004102,0.928484,2.399766,20260311T191644822219-60e09191
207940.KS,kr_stock,KRW,0.298127,-0.228499,-0.033445,-0.053442,-0.074739,-0.233229,-0.438906,0.639677,-0.001544,103201799116.66667,0.298127,-0.228499,-0.033445,-0.053442,-0.074739,-0.233229,-0.438906,0.639677,-0.001544,-0.063685,-0.268309,20260311T191644822219-60e09191
AAPL,us_stock,USD,0.282572,-0.221148,-0.032886,-0.050266,1.20409,1.252174,0.601582,-0.390533,0.000211,18589798397303.24,0.282572,-0.221148,-0.032886,-0.050266,1.20409,1.252174,0.601582,-0.390533,0.000211,0.109387,0.239907,20260311T191644822219-60e09191
AMZN,us_stock,USD,0.35537,-0.211379,-0.033416,-0.050219,1.40007,1.554171,0.545025,-0.267464,0.001419,15822121891734.729,0.35537,-0.211379,-0.033416,-0.050219,1.40007,1.554171,0.545025,-0.267464,0.001419,0.089047,0.161839,20260311T191644822219-60e09191
AVGO,us_stock,USD,0.427518,-0.263454,-0.041834,-0.061772,1.532589,1.527886,0.570224,-0.186229,0.001733,15729507019180.102,0.427518,-0.263454,-0.041834,-0.061772,1.532589,1.527886,0.570224,-0.186229,0.001733,0.795086,1.572002,20260311T191644822219-60e09191
BNB-USD,crypto,USD,0.588079,-0.547629,-0.041879,-0.072363,1.048368,1.06175,0.579869,-0.174954,0.009049,2318786344656938.5,0.588079,-0.547629,-0.041879,-0.072363,1.048368,1.06175,0.579869,-0.174954,0.009049,0.05738,0.055419,20260311T191644822219-60e09191
BRK-B,us_stock,USD,0.192631,-0.194209,-0.019204,-0.035583,0.725596,0.749844,0.338233,-0.344637,0.001755,3534033754101.8276,0.192631,-0.194209,-0.019204,-0.035583,0.725596,0.749844,0.338233,-0.344637,0.001755,0.0094,-0.095931,20260311T191644822219-60e09191
BTC-USD,crypto,USD,0.470186,-0.479496,-0.036802,-0.0553,1.097302,0.996664,0.642993,-0.247765,0.007618,5.171457602556728e+18,0.470186,-0.479496,-0.036802,-0.0553,1.097302,0.996664,0.642993,-0.247765,0.007618,-0.30525,-0.866774,20260311T191644822219-60e09191
COST,us_stock,USD,0.241978,-0.149391,-0.025359,-0.034478,0.841169,0.901112,0.501529,-0.400483,-0.000411,3561076595579.6377,0.241978,-0.149391,-0.025359,-0.034478,0.841169,0.901112,0.501529,-0.400483,-0.000411,0.051424,0.091445,20260311T191644822219-60e09191
DBC,commodity_etf,USD,0.209656,-0.145722,-0.016677,-0.030896,0.403289,0.602515,0.337271,-0.012516,-0.002503,33038140663.32702,0.209656,-0.145722,-0.016677,-0.030896,0.403289,0.602515,0.337271,-0.012516,-0.002503,0.315869,1.387443,20260311T191644822219-60e09191
DIA,etf,USD,0.163211,-0.130646,-0.019458,-0.029796,0.838967,0.824424,0.912647,-0.463046,-3.1e-05,4586032484924.374,0.163211,-0.130646,-0.019458,-0.029796,0.838967,0.824424,0.912647,-0.463046,-3.1e-05,0.146633,0.616526,20260311T191644822219-60e09191
EFA,etf,USD,0.167567,-0.127408,-0.015628,-0.027585,0.764659,0.737578,0.831765,-0.357034,0.00087,3353753237577.289,0.167567,-0.127408,-0.015628,-0.027585,0.764659,0.737578,0.831765,-0.357034,0.00087,0.232311,1.139833,20260311T191644822219-60e09191
ETH-USD,crypto,USD,0.632614,-0.606647,-0.057294,-0.08163,1.441458,1.427841,0.616198,-0.159826,0.006639,9.057296127467424e+16,0.632614,-0.606647,-0.057294,-0.08163,1.441458,1.427841,0.616198,-0.159826,0.006639,-0.14419,-0.286823,20260311T191644822219-60e09191
EWY,etf,USD,0.248387,-0.152832,-0.027616,-0.042877,0.820198,0.812764,0.553482,-0.040387,-0.003603,2865552585355.318,0.248387,-0.152832,-0.027616,-0.042877,0.820198,0.812764,0.553482,-0.040387,-0.003603,1.422444,4.318948,20260311T191644822219-60e09191
GLD,gold_etf,USD,0.184038,-0.126908,-0.024507,-0.038779,0.225365,0.258398,0.246325,0.07153,-0.000407,11790667529426.021,0.184038,-0.126908,-0.024507,-0.038779,0.225365,0.258398,0.246325,0.07153,-0.000407,0.802587,2.9109,20260311T191644822219-60e09191
GOOGL,us_stock,USD,0.309845,-0.160558,-0.026502,-0.037909,1.174795,1.11653,0.612115,-0.333312,0.000463,15770032022055.588,0.309845,-0.160558,-0.026502,-0.037909,1.174795,1.11653,0.612115,-0.333312,0.000463,0.796224,2.481834,20260311T191644822219-60e09191
HD,us_stock,USD,0.244035,-0.171883,-0.02335,-0.034178,0.848152,0.738921,0.462812,-0.270866,-0.000149,2302923549333.4155,0.244035,-0.171883,-0.02335,-0.034178,0.848152,0.738921,0.462812,-0.270866,-0.000149,-0.01645,-0.187969,20260311T191644822219-60e09191
HYG,bond_etf,USD,0.109023,-0.066391,-0.010321,-0.017999,0.446983,0.431126,0.803406,-0.620979,0.000296,4867348125531.141,0.109023,-0.066391,-0.010321,-0.017999,0.446983,0.431126,0.803406,-0.620979,0.000296,0.075731,0.41753,20260311T191644822219-60e09191
IAU,gold_etf,USD,0.183521,-0.126055,-0.024314,-0.038524,0.224879,0.259402,0.245317,0.069636,-0.000411,2019363794163.3853,0.183521,-0.126055,-0.024314,-0.038524,0.224879,0.259402,0.245317,0.069636,-0.000411,0.804145,2.935596,20260311T191644822219-60e09191
IEF,bond_etf,USD,0.114555,-0.096276,-0.008891,-0.017617,0.194679,0.14356,0.642839,-0.594506,4.2e-05,1255579678910.7893,0.114555,-0.096276,-0.008891,-0.017617,0.194679,0.14356,0.642839,-0.594506,4.2e-05,0.070965,0.380203,20260311T191644822219-60e09191
ITA,etf,USD,0.210622,-0.160681,-0.02232,-0.035714,0.856042,0.857519,0.717407,-0.184991,0.000838,339102264826.4205,0.210622,-0.160681,-0.02232,-0.035714,0.856042,0.857519,0.717407,-0.184991,0.000838,0.631086,2.424472,20260311T191644822219-60e09191
IWM,etf,USD,0.232793,-0.150828,-0.022757,-0.036274,1.094901,1.022734,0.872419,-0.32347,0.000445,15196778414018.092,0.232793,-0.150828,-0.022757,-0.036274,1.094901,1.022734,0.872419,-0.32347,0.000445,0.259491,0.924557,20260311T191644822219-60e09191
JNJ,us_stock,USD,0.19113,-0.156213,-0.01733,-0.031912,0.369782,0.335896,0.365938,-0.364794,0.000279,2909480790273.6514,0.19113,-0.156213,-0.01733,-0.031912,0.369782,0.335896,0.365938,-0.364794,0.000279,0.52146,2.316099,20260311T191644822219-60e09191
JPM,us_stock,USD,0.254472,-0.166465,-0.029002,-0.04317,0.932575,0.955281,0.648674,-0.193683,0.002874,4875702825110.146,0.254472,-0.166465,-0.029002,-0.04317,0.932575,0.955281,0.648674,-0.193683,0.002874,0.231265,0.732863,20260311T191644822219-60e09191
